movie_id,name,job
129,Takeshi Seyama,Editor
129,Toshio Suzuki,Producer
129,Atsushi Okui,Director of Photography
129,Hayao Miyazaki,Director
129,Joe Hisaishi,Original Music Composer
129,Yasuyoshi Tokuma,Executive Producer
129,Yoji Takeshige,Art Direction
129,Kitaro Kosaka,Animation Director
129,Megumi Kagawa,Animation Director
129,Masashi Ando,Animation Director
129,Atsushi Tamura,Compositing Artist
129,Hiromasa Yonebayashi,Key Animation
129,Hisaki Furukawa,Key Animation
129,Atsuko Tanaka,Key Animation
129,Nobuyuki Takeuchi,Key Animation
129,Ryoko Ina,Background Designer
129,Kaori Fujii,Key Animation
129,Yoshikazu Fukutome,Background Designer
129,Misuzu Kurata,Key Animation
129,Hideki Hamasu,Key Animation
129,Noboru Yoshida,Assistant Art Director
129,Kenichi Konishi,Key Animation
129,Shinji Hashimoto,Key Animation
129,Kazuo Nagai,Background Designer
129,Kuniyuki Ishii,Key Animation
129,Masahiro Kubota,Background Designer
129,Sayaka Hirahara,Background Designer
129,Hiroaki Sasaki,Background Designer
129,Kazuyoshi Onoda,Key Animation
129,Shizue Kaneko,Key Animation
129,Masaru Matsuse,Key Animation
129,Akihiko Yamashita,Key Animation
129,Hiromasa Ogura,Background Designer
129,Kikuyo Yano,Background Designer
129,Hisae Saito,Background Designer
129,Mariko Matsuo,Key Animation
129,Makiko Futaki,Key Animation
129,Shinya Ohira,Key Animation
129,Takaaki Yamashita,Key Animation
129,Hiroomi Yamakawa,Key Animation
129,Masaru Ohshiro,Key Animation
129,Osamu Masuyama,Background Designer
129,Naomi Kasugai,Background Designer
129,Tomoe Ishihara,Background Designer
129,Yoshihiro Osugi,Key Animation
129,Noboru Takano,Key Animation
129,Shojuro Yamauchi,Key Animation
129,Banjiro Uemura,Co-Executive Producer
129,Kenichi Yamada,Key Animation
129,Hideaki Yoshio,Key Animation
129,Atsushi Yamagata,Key Animation
129,Hisashi Mori,Key Animation
129,Masanori Kikuchi,Background Designer
129,Katsutoshi Nakamura,Key Animation
129,Shigeru Kimishima,Key Animation
129,Tamami Yamada,Key Animation
129,Keiko Itogawa,Background Designer
129,Masako Shinohara,Key Animation
129,Naoya Tanaka,Background Designer
129,Kyoko Naganawa,Background Designer
129,Takeyoshi Matsushita,Co-Executive Producer
129,Takeshi Inamura,Key Animation
129,Eiji Yamamori,Key Animation
129,Makiko Suzuki,Key Animation
129,Atsushi Tamura,Key Animation
129,Yuichi Tanaka,Key Animation
129,Shougo Furuya,Key Animation
129,Seiichiro Ujiie,Co-Executive Producer
129,Koji Hoshino,Co-Executive Producer
129,Masako Nagata,Background Designer
129,Junji Yabuta,Compositing Artist
129,Hironori Aihara,Co-Executive Producer
129,Yutaka Narita,Co-Executive Producer
129,Mitsunori Kataama,Animation Director
129,Atsushi Takahashi,Assistant Director
129,Nozomu Takahashi,Production Manager
129,Mikio Mori,Dolby Consultant
129,Michiyo Yasuda,Color Designer
129,Masayuki Miyaji,Assistant Director
129,Wataru Takahashi,Compositing Artist
129,Shuji Inoue,Sound Mixer
129,Michihiro Itou,Sound Effects
129,Tsutomu Kawahigashi,Dolby Consultant
129,Youmi Kimura,Theme Song Performance
129,Toru Noguchi,Sound Effects
129,Nizou Yamamoto,Background Designer
129,Dave Bossert,Thanks
129,Kazuo Oga,Background Designer
129,Yoshiyuki Momose,Key Animation
129,Goro Miyazaki,Writers' Assistant
129,Hayao Miyazaki,Original Story
129,Hayao Miyazaki,Screenplay
129,Youmi Kimura,Main Title Theme Composer
497,Frank Darabont,Director
497,Frank Darabont,Screenplay
497,David Valdes,Producer
497,Frank Darabont,Producer
497,Thomas Newman,Original Music Composer
497,David Tattersall,Director of Photography
497,Richard Francis-Bruce,Editor
497,Mali Finn,Casting
497,Terence Marsh,Production Design
497,Michael Seirton,Set Decoration
497,Karyn Wagner,Costume Design
497,Danielle Burgio,Stunts
497,Jeff Imada,Stunt Coordinator
497,Heather Pain,Key Costumer
497,Gary Archer,Prosthetics
497,Stephen King,Novel
497,Ralph Nelson Jr.,Still Photographer
497,Craig Barron,Visual Effects Supervisor
497,Fred Fein,Stand In
497,Jessica Drake,Dialect Coach
497,Tommy J. Huff,Stunts
497,Janis Clark,Hairstylist
497,Marsha Bozeman,Set Costumer
497,Deborah La Mia Denaver,Makeup Artist
497,Robert C. Lusted,First Assistant Editor
497,Kerry Rossall,Stunts
497,Daniel C. Striepeke,Makeup Artist
497,Andrew Dickler,Assistant Editor
497,David Latour,Animation
497,Rick O'Connor,Animation
497,Stephen King,Thanks
497,Susan Malerstein,Script Supervisor
497,Nina Paskowitz,Key Hair Stylist
497,William Cruse,Supervising Art Director
497,David Emmerichs,Steadicam Operator
497,David Emmerichs,Camera Operator
497,Bobby Burton,Gaffer
497,Jimmy Keys,Rigging Gaffer
497,L. Dean Jones Jr.,Unit Production Manager
497,Beatriz Kerti,Art Department Coordinator
497,Willie D. Burton,Sound Mixer
497,Elliot Tyson,Sound Re-Recording Mixer
497,Michael Herbick,Sound Re-Recording Mixer
497,Robert J. Litt,Sound Re-Recording Mixer
497,Mark Mangini,Supervising Sound Editor
497,Marvin E. Lewis,Boom Operator
497,Bill Bernstein,Music Editor
